"isbn","title","author","summary","pages","year","language","publisher","subjects","genres"
"3-407-78043-5","Nun red doch endlich","Pressler, Mirjam","Karin, bei der bisher eigentlich alles geklappt hat, wird plötzlich krank und kommt zu einem Psychologen.","155","1988","ger","Beltz & Gelberg","Nichteheliches Kind; Mutter","Jugendbuch"
"3-407-78049-4","Traumstunde für Siebenschläfer","Janosch","Popov rettet seinen Freund Piezke aus den Fängen eines Raubvogels.","16","1989","ger","Beltz & Gelberg","Freundschaft","Kinderbuch"
"3-407-78294-2","Der TV-Karl","Nöstlinger, Christine","Anton entdeckt an seiner Fernbedienung einen blauen Knopf, mit dem er Verbindung zum TV-Karl bekommt. Weil Anton viel allein ist, wird Karl zum Lebensberater für alle Anton-Probleme.","73","1998","ger","Beltz & Gelberg","Junge; Einsamkeit; Fernsehen","Kinderbuch"
"3-407-78301-9","Juma - Ein Straßenkind aus Tansania","Siege, Nasrin","Nach dem Tod seiner Mutter bekommt Juma eine wenig liebevolle Stiefmutter, die noch dazu ihre eigenen Kinder bevorzugt. Schließlich hält Juma die ewigen Schikanen nicht mehr aus und führt fortan ein gefährliches Leben auf der Straße.","161","1998","unb","Beltz & Gelberg","Halbwaise; Obdachlosigkeit","Kinderbuch"
"3-407-80502-0","Die Löwenreise","Janosch","Lari Fari Mogelzahn und Hans, der Löwe, auf gefährlicher Weltreise.","162","1985","ger","Beltz & Gelberg","Spielzeug; Abenteuerreise","Kinderbuch"
"3-407-80556-X","Komm, wir finden einen Schatz","Janosch","Kleiner Bär und kleiner Tiger suchen nach einem Schatz. Sie wollen unbedingt reich werden.","23","1979","ger","Beltz & Gelberg","Schatzsuche","Kinderbuch"
"3-421-05149-6","Mein Leben","Reich-Ranicki, Marcel","Autobiographie Reich-Ranickis, temperamentvoll und anschaulich erzählt. Farbig, pointiert und anekdotenreich schildert er die Stationen seines Lebens. Seine Autobiographie ist Bekenntnis und Darstellung, zeitkritische Chronik, die Geschichte einer Ehe und nicht zuletzt ein Buch über die Literatur. Ausführliche Rezension in der SZ. Großen Bibliotheken empfohlen, kleinen bei Nachfrage.","565","1999","unb","Dt. Verl.-Anst.","","Autobiografie"
"3-421-05409-6","Geschichte eines Deutschen","Haffner, Sebastian","Im Nachlass des streitbaren Journalisten und hochgerühmten historischen Autors (1907-1999) fand sich ein 1939 geschriebener Text, der bisher niemals publiziert wurde: Der Sohn eines hohen preußischen Beamten beschreibt darin sein Leben zwischen 1914 und 1933, soweit dieses von der Politik berührt und bestimmt wurde: Den Sommer 1914 erlebt der 7-jährige bewusst als Beginn eines gigantischen Kriegsspiels, das seine Fortsetzung mit anderen Mitteln in den Anfängen der Republik findet: Hellsichtig sieht er, wohin der Weg der Nazis führen wird. Als Rechtsreferendar erlebt er 1933 hautnah die ""Machtübernahme"" am 30. Januar, den Reichstagsbrand und den Judenboykott am 1. April. 1939 folgt er der jüdischen Freundin in die Emigration nach England. Nach ID. Spiegel-Bestsellerliste. Vorlaufex. für 51.","239","2000","unb","DVA","","Autobiographie 1914-1933"
"3-423-00899-7","König Alkohol","London, Jack","Ein Mann kämpft gegen die Alkoholsucht.","156","1999","ger","Dt. Taschenbuch-Verl.","Alkoholiker","Fiktionale Darstellung"
"3-423-01545-4","Die gezählten Jahre","Graf, Oskar Maria","Geschichte eines sozialdemokratischen Stadtrats in der Weimarer Zeit und in der österreichischen Emigration.","470","1980","ger","Dt. Taschenbuch-Verl.","Sozialdemokrat; Nationalsozialismus; Sozialdemokrat; Nationalsozialismus","Fiktionale Darstellung; Fiktionale Darstellung"
"3-423-01758-9","Anton Sittinger","Graf, Oskar Maria","Leben eines deutschen Spießers zwischen 1918 und 1933.","347","1982","ger","Dt. Taschenbuch-Verl.","Kleinbürger","Fiktionale Darstellung"
"3-423-07309-8","Hannes Strohkopp und der unsichtbare Indianer","Janosch","Mit Hilfe des unsichtbaren Indianers wird aus dem Dummkopf und Schwächling Hannes Strohkopp ein richtiger Bub.","89","1978","ger","Dtv","Schwächling; Dummkopf","Kinderbuch"
"3-423-07465-5","Urmel im Vulkan","Kruse, Max","In der Nähe der Insel Titiwu entsteht eine Vulkaninsel. Das Urmel ist fest davon überzeugt, daß der Feuerteufel für den Ausbruch verantwortlich ist und will ihm seine Meinung sagen...","182","1982","ger","Dtv","Drache","Kinderbuch"
